company,call_date,quarter,speaker,speaker_type,paragraph_id,source_file,call_id,paragraph_text_original,core_ai_hits,technical_ai_hits,model_name_hits,hit_types,keyword_hit,prev_paragraph,next_paragraph,period,year,quarter_num,year_quarter,ai_relevant,ai_excerpt,attitude,theme
AAPL,2024/2/1,,,,14,AAPL\2024-02-01_3010150_Apple_Inc._Q1_2024_Earnings_Call_Feb_01_2024.txt,AAPL\2024-02-01_3010150_Apple_Inc._Q1_2024_Earnings_Call_Feb_01_2024,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2024,1,2024Q1,yes,[Redacted],neutral,AI strategy and investment
AAPL,2024/2/1,,,,15,AAPL\2024-02-01_3010150_Apple_Inc._Q1_2024_Earnings_Call_Feb_01_2024.txt,AAPL\2024-02-01_3010150_Apple_Inc._Q1_2024_Earnings_Call_Feb_01_2024,[Redacted],generative AI,,,core_ai,1,[Redacted],[Redacted],post,2024,1,2024Q1,yes,[Redacted],neutral,AI strategy and investment; Generative AI and LLM
AAPL,2024/2/1,,,,20,AAPL\2024-02-01_3010150_Apple_Inc._Q1_2024_Earnings_Call_Feb_01_2024.txt,AAPL\2024-02-01_3010150_Apple_Inc._Q1_2024_Earnings_Call_Feb_01_2024,[Redacted],AI,machine learning,,core_ai; technical_ai,1,[Redacted],[Redacted],post,2024,1,2024Q1,yes,[Redacted],neutral,AI infrastructure and computing
AAPL,2024/2/1,,,,31,AAPL\2024-02-01_3010150_Apple_Inc._Q1_2024_Earnings_Call_Feb_01_2024.txt,AAPL\2024-02-01_3010150_Apple_Inc._Q1_2024_Earnings_Call_Feb_01_2024,[Redacted],generative AI,,,core_ai,1,[Redacted],[Redacted],post,2024,1,2024Q1,no,[Redacted],,
AAPL,2024/2/1,,,,45,AAPL\2024-02-01_3010150_Apple_Inc._Q1_2024_Earnings_Call_Feb_01_2024.txt,AAPL\2024-02-01_3010150_Apple_Inc._Q1_2024_Earnings_Call_Feb_01_2024,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2024,1,2024Q1,no,[Redacted],,
AAPL,2024/2/1,,,,46,AAPL\2024-02-01_3010150_Apple_Inc._Q1_2024_Earnings_Call_Feb_01_2024.txt,AAPL\2024-02-01_3010150_Apple_Inc._Q1_2024_Earnings_Call_Feb_01_2024,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2024,1,2024Q1,yes,[Redacted],positive,Generative AI and LLM
AAPL,2024/5/2,,,,2,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024.txt,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024,[Redacted],AI; generative AI,machine learning,Palm,core_ai; technical_ai; model_name,1,[Redacted],[Redacted],post,2024,2,2024Q2,yes,[Redacted],positive,"AI strategy and investment; AI infrastructure and computing; Generative AI and LLM; AI content and customer experience; AI security, risk and responsibility"
AAPL,2024/5/2,,,,3,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024.txt,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2024,2,2024Q2,yes,[Redacted],positive,AI content and customer experience
AAPL,2024/5/2,,,,8,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024.txt,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024,[Redacted],AI; generative AI,,,core_ai,1,[Redacted],[Redacted],post,2024,2,2024Q2,no,[Redacted],,
AAPL,2024/5/2,,,,9,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024.txt,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024,[Redacted],GenAI,,,core_ai,1,[Redacted],[Redacted],post,2024,2,2024Q2,yes,[Redacted],positive,Generative AI and LLM
AAPL,2024/5/2,,,,16,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024.txt,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024,[Redacted],AI; generative AI,,,core_ai,1,[Redacted],[Redacted],post,2024,2,2024Q2,no,[Redacted],,
AAPL,2024/5/2,,,,17,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024.txt,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024,[Redacted],generative AI,,,core_ai,1,[Redacted],[Redacted],post,2024,2,2024Q2,yes,[Redacted],positive,AI strategy and investment; Generative AI and LLM
AAPL,2024/5/2,,,,23,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024.txt,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2024,2,2024Q2,no,[Redacted],,
AAPL,2024/5/2,,,,24,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024.txt,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024,[Redacted],AI; generative AI,,,core_ai,1,[Redacted],[Redacted],post,2024,2,2024Q2,yes,[Redacted],positive,AI strategy and investment; Generative AI and LLM
AAPL,2024/5/2,,,,26,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024.txt,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2024,2,2024Q2,no,[Redacted],,
AAPL,2024/5/2,,,,27,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024.txt,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2024,2,2024Q2,yes,[Redacted],positive,AI strategy and investment; AI productivity and enterprise applications
AAPL,2024/5/2,,,,36,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024.txt,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2024,2,2024Q2,no,[Redacted],,
AAPL,2024/5/2,,,,37,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024.txt,AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024,[Redacted],generative AI,,,core_ai,1,[Redacted],[Redacted],post,2024,2,2024Q2,yes,[Redacted],positive,Generative AI and LLM
AAPL,2024/8/1,,,,2,AAPL\2024-08-01_3209490_Apple_Inc._Q3_2024_Earnings_Call_Aug_01_2024.txt,AAPL\2024-08-01_3209490_Apple_Inc._Q3_2024_Earnings_Call_Aug_01_2024,[Redacted],AI,machine learning,ChatGPT,core_ai; technical_ai; model_name,1,[Redacted],[Redacted],post,2024,3,2024Q3,yes,[Redacted],positive,"AI strategy and investment; AI infrastructure and computing; Generative AI and LLM; AI content and customer experience; AI security, risk and responsibility"
AAPL,2024/8/1,,,,3,AAPL\2024-08-01_3209490_Apple_Inc._Q3_2024_Earnings_Call_Aug_01_2024.txt,AAPL\2024-08-01_3209490_Apple_Inc._Q3_2024_Earnings_Call_Aug_01_2024,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2024,3,2024Q3,yes,[Redacted],neutral,AI content and customer experience
AAPL,2024/8/1,,,,22,AAPL\2024-08-01_3209490_Apple_Inc._Q3_2024_Earnings_Call_Aug_01_2024.txt,AAPL\2024-08-01_3209490_Apple_Inc._Q3_2024_Earnings_Call_Aug_01_2024,[Redacted],,,ChatGPT,model_name,1,[Redacted],[Redacted],post,2024,3,2024Q3,yes,[Redacted],neutral,Generative AI and LLM
AAPL,2024/8/1,,,,27,AAPL\2024-08-01_3209490_Apple_Inc._Q3_2024_Earnings_Call_Aug_01_2024.txt,AAPL\2024-08-01_3209490_Apple_Inc._Q3_2024_Earnings_Call_Aug_01_2024,[Redacted],,,ChatGPT,model_name,1,[Redacted],[Redacted],post,2024,3,2024Q3,yes,[Redacted],neutral,Generative AI and LLM
AAPL,2024/8/1,,,,31,AAPL\2024-08-01_3209490_Apple_Inc._Q3_2024_Earnings_Call_Aug_01_2024.txt,AAPL\2024-08-01_3209490_Apple_Inc._Q3_2024_Earnings_Call_Aug_01_2024,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2024,3,2024Q3,yes,[Redacted],neutral,AI infrastructure and computing; AI content and customer experience
AAPL,2024/8/1,,,,53,AAPL\2024-08-01_3209490_Apple_Inc._Q3_2024_Earnings_Call_Aug_01_2024.txt,AAPL\2024-08-01_3209490_Apple_Inc._Q3_2024_Earnings_Call_Aug_01_2024,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2024,3,2024Q3,yes,[Redacted],positive,AI strategy and investment
AAPL,2024/10/31,,,,2,AAPL\2024-10-31_3295872_Apple_Inc._Q4_2024_Earnings_Call_Oct_31_2024.txt,AAPL\2024-10-31_3295872_Apple_Inc._Q4_2024_Earnings_Call_Oct_31_2024,[Redacted],AI; generative AI,generative models,ChatGPT,core_ai; technical_ai; model_name,1,[Redacted],[Redacted],post,2024,4,2024Q4,yes,[Redacted],positive,"AI infrastructure and computing; Generative AI and LLM; AI content and customer experience; AI security, risk and responsibility"
AAPL,2024/10/31,,,,7,AAPL\2024-10-31_3295872_Apple_Inc._Q4_2024_Earnings_Call_Oct_31_2024.txt,AAPL\2024-10-31_3295872_Apple_Inc._Q4_2024_Earnings_Call_Oct_31_2024,[Redacted],,,ChatGPT,model_name,1,[Redacted],[Redacted],post,2024,4,2024Q4,yes,[Redacted],positive,Generative AI and LLM; AI content and customer experience
AAPL,2024/10/31,,,,9,AAPL\2024-10-31_3295872_Apple_Inc._Q4_2024_Earnings_Call_Oct_31_2024.txt,AAPL\2024-10-31_3295872_Apple_Inc._Q4_2024_Earnings_Call_Oct_31_2024,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2024,4,2024Q4,yes,[Redacted],neutral,AI strategy and investment
AAPL,2024/10/31,,,,39,AAPL\2024-10-31_3295872_Apple_Inc._Q4_2024_Earnings_Call_Oct_31_2024.txt,AAPL\2024-10-31_3295872_Apple_Inc._Q4_2024_Earnings_Call_Oct_31_2024,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2024,4,2024Q4,no,[Redacted],,
AAPL,2024/10/31,,,,40,AAPL\2024-10-31_3295872_Apple_Inc._Q4_2024_Earnings_Call_Oct_31_2024.txt,AAPL\2024-10-31_3295872_Apple_Inc._Q4_2024_Earnings_Call_Oct_31_2024,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2024,4,2024Q4,yes,[Redacted],positive,AI strategy and investment
ADBE,2021/3/23,,,,3,ADBE\2021-03-23_2241429_Adobe_Inc._Q1_2021_Earnings_Call_Mar_23_2021.txt,ADBE\2021-03-23_2241429_Adobe_Inc._Q1_2021_Earnings_Call_Mar_23_2021,[Redacted],AI,machine learning,,core_ai; technical_ai,1,[Redacted],[Redacted],pre,2021,1,2021Q1,yes,[Redacted],positive,AI content and customer experience
ADBE,2021/3/23,,,,35,ADBE\2021-03-23_2241429_Adobe_Inc._Q1_2021_Earnings_Call_Mar_23_2021.txt,ADBE\2021-03-23_2241429_Adobe_Inc._Q1_2021_Earnings_Call_Mar_23_2021,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],pre,2021,1,2021Q1,yes,[Redacted],positive,AI strategy and investment; AI content and customer experience
ADBE,2021/9/21,,,,3,ADBE\2021-09-21_2399875_Adobe_Inc._Q3_2021_Earnings_Call_Sep_21_2021.txt,ADBE\2021-09-21_2399875_Adobe_Inc._Q3_2021_Earnings_Call_Sep_21_2021,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],pre,2021,3,2021Q3,yes,[Redacted],positive,"AI strategy and investment; AI infrastructure and computing; AI productivity and enterprise applications; AI content and customer experience; AI security, risk and responsibility"
ADBE,2021/9/21,,,,9,ADBE\2021-09-21_2399875_Adobe_Inc._Q3_2021_Earnings_Call_Sep_21_2021.txt,ADBE\2021-09-21_2399875_Adobe_Inc._Q3_2021_Earnings_Call_Sep_21_2021,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],pre,2021,3,2021Q3,yes,[Redacted],neutral,AI strategy and investment
ADBE,2021/9/21,,,,30,ADBE\2021-09-21_2399875_Adobe_Inc._Q3_2021_Earnings_Call_Sep_21_2021.txt,ADBE\2021-09-21_2399875_Adobe_Inc._Q3_2021_Earnings_Call_Sep_21_2021,[Redacted],artificial intelligence,,,core_ai,1,[Redacted],[Redacted],pre,2021,3,2021Q3,yes,[Redacted],neutral,AI content and customer experience
ADBE,2021/12/16,,,,3,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021.txt,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021,[Redacted],artificial intelligence,machine learning,,core_ai; technical_ai,1,[Redacted],[Redacted],pre,2021,4,2021Q4,yes,[Redacted],positive,AI strategy and investment; AI productivity and enterprise applications; AI content and customer experience
ADBE,2021/12/16,,,,4,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021.txt,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],pre,2021,4,2021Q4,yes,[Redacted],neutral,AI strategy and investment
ADBE,2021/12/16,,,,5,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021.txt,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021,[Redacted],AI,machine learning,,core_ai; technical_ai,1,[Redacted],[Redacted],pre,2021,4,2021Q4,yes,[Redacted],positive,AI infrastructure and computing; AI content and customer experience
ADBE,2021/12/16,,,,7,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021.txt,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],pre,2021,4,2021Q4,yes,[Redacted],neutral,AI productivity and enterprise applications; AI content and customer experience
ADBE,2021/12/16,,,,8,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021.txt,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021,[Redacted],AI,machine learning,,core_ai; technical_ai,1,[Redacted],[Redacted],pre,2021,4,2021Q4,yes,[Redacted],neutral,AI productivity and enterprise applications; AI content and customer experience
ADBE,2021/12/16,,,,9,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021.txt,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021,[Redacted],artificial intelligence,machine learning,,core_ai; technical_ai,1,[Redacted],[Redacted],pre,2021,4,2021Q4,yes,[Redacted],positive,AI strategy and investment
ADBE,2021/12/16,,,,28,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021.txt,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021,[Redacted],artificial intelligence,,,core_ai,1,[Redacted],[Redacted],pre,2021,4,2021Q4,yes,[Redacted],neutral,AI strategy and investment
ADBE,2021/12/16,,,,32,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021.txt,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],pre,2021,4,2021Q4,yes,[Redacted],positive,AI strategy and investment
ADBE,2021/12/16,,,,59,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021.txt,ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],pre,2021,4,2021Q4,yes,[Redacted],neutral,AI productivity and enterprise applications
ADBE,2022/3/22,,,,4,ADBE\2022-03-22_2529052_Adobe_Inc._Q1_2022_Earnings_Call_Mar_22_2022.txt,ADBE\2022-03-22_2529052_Adobe_Inc._Q1_2022_Earnings_Call_Mar_22_2022,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],pre,2022,1,2022Q1,yes,[Redacted],positive,AI strategy and investment; AI content and customer experience
ADBE,2022/3/22,,,,5,ADBE\2022-03-22_2529052_Adobe_Inc._Q1_2022_Earnings_Call_Mar_22_2022.txt,ADBE\2022-03-22_2529052_Adobe_Inc._Q1_2022_Earnings_Call_Mar_22_2022,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],pre,2022,1,2022Q1,yes,[Redacted],positive,AI content and customer experience
ADBE,2022/6/16,,,,4,ADBE\2022-06-16_2590683_Adobe_Inc._Q2_2022_Earnings_Call_Jun_16_2022.txt,ADBE\2022-06-16_2590683_Adobe_Inc._Q2_2022_Earnings_Call_Jun_16_2022,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],pre,2022,2,2022Q2,yes,[Redacted],neutral,AI strategy and investment; AI content and customer experience
ADBE,2022/9/15,,,,36,ADBE\2022-09-15_2654991_Adobe_Inc._Q3_2022_Earnings_Call_Sep_15_2022.txt,ADBE\2022-09-15_2654991_Adobe_Inc._Q3_2022_Earnings_Call_Sep_15_2022,[Redacted],artificial intelligence,,,core_ai,1,[Redacted],[Redacted],pre,2022,3,2022Q3,yes,[Redacted],neutral,AI strategy and investment
ADBE,2022/12/15,,,,4,ADBE\2022-12-15_3000557_Adobe_Inc._Q4_2022_Earnings_Call_Dec_15_2022.txt,ADBE\2022-12-15_3000557_Adobe_Inc._Q4_2022_Earnings_Call_Dec_15_2022,[Redacted],AI; generative AI,,,core_ai,1,[Redacted],[Redacted],post,2022,4,2022Q4,yes,[Redacted],positive,"AI strategy and investment; Generative AI and LLM; AI productivity and enterprise applications; AI content and customer experience; AI security, risk and responsibility"
ADBE,2022/12/15,,,,21,ADBE\2022-12-15_3000557_Adobe_Inc._Q4_2022_Earnings_Call_Dec_15_2022.txt,ADBE\2022-12-15_3000557_Adobe_Inc._Q4_2022_Earnings_Call_Dec_15_2022,[Redacted],generative AI,,,core_ai,1,[Redacted],[Redacted],post,2022,4,2022Q4,no,[Redacted],,
ADBE,2022/12/15,,,,22,ADBE\2022-12-15_3000557_Adobe_Inc._Q4_2022_Earnings_Call_Dec_15_2022.txt,ADBE\2022-12-15_3000557_Adobe_Inc._Q4_2022_Earnings_Call_Dec_15_2022,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2022,4,2022Q4,yes,[Redacted],neutral,AI content and customer experience
ADBE,2023/3/15,,,,4,ADBE\2023-03-15_2766091_Adobe_Inc._Q1_2023_Earnings_Call_Mar_15_2023.txt,ADBE\2023-03-15_2766091_Adobe_Inc._Q1_2023_Earnings_Call_Mar_15_2023,[Redacted],AI; Generative AI,,,core_ai,1,[Redacted],[Redacted],post,2023,1,2023Q1,yes,[Redacted],neutral,"Generative AI and LLM; AI content and customer experience; AI security, risk and responsibility"
ADBE,2023/3/15,,,,7,ADBE\2023-03-15_2766091_Adobe_Inc._Q1_2023_Earnings_Call_Mar_15_2023.txt,ADBE\2023-03-15_2766091_Adobe_Inc._Q1_2023_Earnings_Call_Mar_15_2023,[Redacted],AI; generative AI,,,core_ai,1,[Redacted],[Redacted],post,2023,1,2023Q1,yes,[Redacted],neutral,Generative AI and LLM; AI productivity and enterprise applications; AI content and customer experience
ADBE,2023/3/15,,,,30,ADBE\2023-03-15_2766091_Adobe_Inc._Q1_2023_Earnings_Call_Mar_15_2023.txt,ADBE\2023-03-15_2766091_Adobe_Inc._Q1_2023_Earnings_Call_Mar_15_2023,[Redacted],generative AI,,,core_ai,1,[Redacted],[Redacted],post,2023,1,2023Q1,yes,[Redacted],positive,AI strategy and investment; Generative AI and LLM
ADBE,2023/3/15,,,,32,ADBE\2023-03-15_2766091_Adobe_Inc._Q1_2023_Earnings_Call_Mar_15_2023.txt,ADBE\2023-03-15_2766091_Adobe_Inc._Q1_2023_Earnings_Call_Mar_15_2023,[Redacted],generative AI,,,core_ai,1,[Redacted],[Redacted],post,2023,1,2023Q1,no,[Redacted],,
ADBE,2023/3/15,,,,33,ADBE\2023-03-15_2766091_Adobe_Inc._Q1_2023_Earnings_Call_Mar_15_2023.txt,ADBE\2023-03-15_2766091_Adobe_Inc._Q1_2023_Earnings_Call_Mar_15_2023,[Redacted],AI; generative AI,,copilot,core_ai; model_name,1,[Redacted],[Redacted],post,2023,1,2023Q1,yes,[Redacted],positive,AI strategy and investment; Generative AI and LLM; AI productivity and enterprise applications; AI content and customer experience
ADBE,2023/3/15,,,,49,ADBE\2023-03-15_2766091_Adobe_Inc._Q1_2023_Earnings_Call_Mar_15_2023.txt,ADBE\2023-03-15_2766091_Adobe_Inc._Q1_2023_Earnings_Call_Mar_15_2023,[Redacted],AI,,,core_ai,1,[Redacted],[Redacted],post,2023,1,2023Q1,yes,[Redacted],neutral,AI strategy and investment
ADBE,2023/6/15,,,,3,ADBE\2023-06-15_2839824_Adobe_Inc._Q2_2023_Earnings_Call_Jun_15_2023.txt,ADBE\2023-06-15_2839824_Adobe_Inc._Q2_2023_Earnings_Call_Jun_15_2023,[Redacted],AI; GenAI; generative AI,foundation models,copilot,core_ai; technical_ai; model_name,1,[Redacted],[Redacted],post,2023,2,2023Q2,yes,[Redacted],positive,AI strategy and investment; AI infrastructure and computing; Generative AI and LLM; AI productivity and enterprise applications; AI content and customer experience
ADBE,2023/6/15,,,,4,ADBE\2023-06-15_2839824_Adobe_Inc._Q2_2023_Earnings_Call_Jun_15_2023.txt,ADBE\2023-06-15_2839824_Adobe_Inc._Q2_2023_Earnings_Call_Jun_15_2023,[Redacted],AI; generative AI,,Bard; copilot,core_ai; model_name,1,[Redacted],[Redacted],post,2023,2,2023Q2,yes,[Redacted],positive,AI strategy and investment; AI infrastructure and computing; Generative AI and LLM; AI productivity and enterprise applications; AI content and customer experience
ADBE,2023/6/15,,,,5,ADBE\2023-06-15_2839824_Adobe_Inc._Q2_2023_Earnings_Call_Jun_15_2023.txt,ADBE\2023-06-15_2839824_Adobe_Inc._Q2_2023_Earnings_Call_Jun_15_2023,[Redacted],AI; GenAI; generative AI,,copilot,core_ai; model_name,1,[Redacted],[Redacted],post,2023,2,2023Q2,yes,[Redacted],positive,AI strategy and investment; Generative AI and LLM; AI productivity and enterprise applications; AI content and customer experience
ADBE,2023/6/15,,,,17,ADBE\2023-06-15_2839824_Adobe_Inc._Q2_2023_Earnings_Call_Jun_15_2023.txt,ADBE\2023-06-15_2839824_Adobe_Inc._Q2_2023_Earnings_Call_Jun_15_2023,[Redacted],generative AI,,,core_ai,1,[Redacted],[Redacted],post,2023,2,2023Q2,no,[Redacted],,
ADBE,2023/6/15,,,,19,ADBE\2023-06-15_2839824_Adobe_Inc._Q2_2023_Earnings_Call_Jun_15_2023.txt,ADBE\2023-06-15_2839824_Adobe_Inc._Q2_2023_Earnings_Call_Jun_15_2023,[Redacted],GenAI,,,core_ai,1,[Redacted],[Redacted],post,2023,2,2023Q2,yes,[Redacted],neutral,Generative AI and LLM; AI content and customer experience
