level,outcome,comparison_group,base_group,coefficient,cluster_se,z_value,p_value,n_observations,n_clusters,fixed_effects,controls,cluster
paragraph,AI productivity and enterprise applications,enterprise_software,platform_bigtech,0.1738676233326318,0.0344729442423349,5.043596569831469,4.5686202669336753e-07,3353,559,company + quarter_of_year,none,earnings_call
paragraph,AI productivity and enterprise applications,semis_ai_infra,platform_bigtech,0.05870870117496438,0.03550846518279973,1.653371974055438,0.0982551830471456,3353,559,company + quarter_of_year,none,earnings_call
paragraph,AI productivity and enterprise applications,ai_forward_saas,platform_bigtech,-0.0008727832375527572,0.05383643442267061,-0.016211757834861864,0.9870654553010977,3353,559,company + quarter_of_year,none,earnings_call
paragraph,AI productivity and enterprise applications,data_cloud_security,platform_bigtech,0.105870773605142,0.05090895849825187,2.079609890443495,0.03756132907827428,3353,559,company + quarter_of_year,none,earnings_call
call,AI productivity and enterprise applications,enterprise_software,platform_bigtech,0.22220681516333837,0.0620648227517262,3.580237650113295,0.0003432818532191233,559,45,company + quarter_of_year,log_total_paragraphs,company
call,AI productivity and enterprise applications,semis_ai_infra,platform_bigtech,0.022254202346596193,0.040249066731850455,0.5529122574408833,0.5803234936805457,559,45,company + quarter_of_year,log_total_paragraphs,company
call,AI productivity and enterprise applications,ai_forward_saas,platform_bigtech,0.0008500768932366339,0.0637714310468214,0.013330058292286118,0.9893644672670222,559,45,company + quarter_of_year,log_total_paragraphs,company
call,AI productivity and enterprise applications,data_cloud_security,platform_bigtech,0.10696622801672577,0.053610229016682456,1.9952578076739789,0.04601476909248479,559,45,company + quarter_of_year,log_total_paragraphs,company
paragraph,AI content and customer experience,enterprise_software,platform_bigtech,0.033732145625217036,0.038064991748504855,0.8861724139620231,0.3755246263725865,3353,559,company + quarter_of_year,none,earnings_call
paragraph,AI content and customer experience,semis_ai_infra,platform_bigtech,0.018196490788064394,0.04078156949334268,0.44619397963667995,0.6554571313384541,3353,559,company + quarter_of_year,none,earnings_call
paragraph,AI content and customer experience,ai_forward_saas,platform_bigtech,0.019788944307651206,0.04038916361915032,0.48995677390725606,0.6241644870113934,3353,559,company + quarter_of_year,none,earnings_call
paragraph,AI content and customer experience,data_cloud_security,platform_bigtech,0.1339589418040202,0.05169543216566209,2.591310995809808,0.009561104466304803,3353,559,company + quarter_of_year,none,earnings_call
call,AI content and customer experience,enterprise_software,platform_bigtech,-0.005789124329973627,0.03698284513668281,-0.1565353965758429,0.875611020689375,559,45,company + quarter_of_year,log_total_paragraphs,company
call,AI content and customer experience,semis_ai_infra,platform_bigtech,0.016976424642844656,0.04523797525633219,0.37526932951024106,0.7074601736711711,559,45,company + quarter_of_year,log_total_paragraphs,company
call,AI content and customer experience,ai_forward_saas,platform_bigtech,0.07519093190636292,0.09200425729644035,0.8172549196728537,0.41378276318868257,559,45,company + quarter_of_year,log_total_paragraphs,company
call,AI content and customer experience,data_cloud_security,platform_bigtech,0.16128516706488424,0.07541620243822335,2.1386010147753045,0.03246799525803041,559,45,company + quarter_of_year,log_total_paragraphs,company
paragraph,"AI security, risk and responsibility",enterprise_software,platform_bigtech,-0.041551528961802434,0.023455991244443804,-1.7714676190308118,0.07648297275658895,3353,559,company + quarter_of_year,none,earnings_call
paragraph,"AI security, risk and responsibility",semis_ai_infra,platform_bigtech,-0.07192886470914543,0.026546559378564403,-2.7095362409648445,0.0067377343824164965,3353,559,company + quarter_of_year,none,earnings_call
paragraph,"AI security, risk and responsibility",ai_forward_saas,platform_bigtech,0.031287125257476775,0.029840969420019296,1.048462093074205,0.29442575834559115,3353,559,company + quarter_of_year,none,earnings_call
paragraph,"AI security, risk and responsibility",data_cloud_security,platform_bigtech,-0.04605721847903278,0.04870960320043299,-0.9455469856634631,0.3443796950442831,3353,559,company + quarter_of_year,none,earnings_call
call,"AI security, risk and responsibility",enterprise_software,platform_bigtech,-0.0717619281765058,0.043575836827670716,-1.646828458172876,0.09959331018380606,559,45,company + quarter_of_year,log_total_paragraphs,company
call,"AI security, risk and responsibility",semis_ai_infra,platform_bigtech,-0.07773208397469904,0.05232103244082085,-1.4856756518063756,0.13736493388954857,559,45,company + quarter_of_year,log_total_paragraphs,company
call,"AI security, risk and responsibility",ai_forward_saas,platform_bigtech,-0.038559375220822575,0.05872772260493509,-0.6565787588974598,0.5114518105326864,559,45,company + quarter_of_year,log_total_paragraphs,company
call,"AI security, risk and responsibility",data_cloud_security,platform_bigtech,-0.045736042428181155,0.05447859405385935,-0.8395231782774163,0.40117578809600285,559,45,company + quarter_of_year,log_total_paragraphs,company
