call_key,company,sample_group,call_date,year_quarter,total_paragraphs,post,ai_paragraphs,ai_presence,ai_share,log_total_paragraphs,att_positive,att_neutral,att_negative,att_mixed,att_not_applicable,theme_AI strategy and investment,theme_AI infrastructure and computing,theme_Generative AI and LLM,theme_AI productivity and enterprise applications,theme_AI content and customer experience,"theme_AI security, risk and responsibility",risk_responsibility_share,positive_share,not_applicable_share,distinct_theme_count
AAPL|2023-08-03|AAPL\2023-08-03_2869783_Apple_Inc._Q3_2023_Earnings_Call_Aug_03_2023,AAPL,platform_bigtech,2023-08-03,2023Q3,63,1,1,1,0.015873015873015872,4.1588830833596715,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2
AAPL|2023-11-02|AAPL\2023-11-02_2948177_Apple_Inc._Q4_2023_Earnings_Call_Nov_02_2023,AAPL,platform_bigtech,2023-11-02,2023Q4,59,1,2,1,0.03389830508474576,4.0943445622221,0.5,0.5,0.0,0.0,0.0,1.0,0.5,0.5,0.0,0.5,0.0,0.0,0.5,0.0,4
AAPL|2024-02-01|AAPL\2024-02-01_3010150_Apple_Inc._Q1_2024_Earnings_Call_Feb_01_2024,AAPL,platform_bigtech,2024-02-01,2024Q1,48,1,5,1,0.10416666666666667,3.8918202981106265,0.4,0.6,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.2,0.0,0.0,0.4,0.0,4
AAPL|2024-05-02|AAPL\2024-05-02_3108090_Apple_Inc._Q2_2024_Earnings_Call_May_02_2024,AAPL,platform_bigtech,2024-05-02,2024Q2,61,1,7,1,0.11475409836065574,4.127134385045092,1.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.7142857142857143,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,1.0,0.0,6
AAPL|2024-08-01|AAPL\2024-08-01_3209490_Apple_Inc._Q3_2024_Earnings_Call_Aug_01_2024,AAPL,platform_bigtech,2024-08-01,2024Q3,57,1,6,1,0.10526315789473684,4.060443010546419,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,0.0,0.5,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,5
AAPL|2024-10-31|AAPL\2024-10-31_3295872_Apple_Inc._Q4_2024_Earnings_Call_Oct_31_2024,AAPL,platform_bigtech,2024-10-31,2024Q4,59,1,4,1,0.06779661016949153,4.0943445622221,0.75,0.25,0.0,0.0,0.0,0.5,0.25,0.5,0.0,0.5,0.25,0.25,0.75,0.0,5
ADBE|2021-03-23|ADBE\2021-03-23_2241429_Adobe_Inc._Q1_2021_Earnings_Call_Mar_23_2021,ADBE,enterprise_software,2021-03-23,2021Q1,58,0,2,1,0.034482758620689655,4.07753744390572,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
ADBE|2021-06-17|ADBE\2021-06-17_2323054_Adobe_Inc._Q2_2021_Earnings_Call_Jun_17_2021,ADBE,enterprise_software,2021-06-17,2021Q2,57,0,0,0,0.0,4.060443010546419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADBE|2021-09-21|ADBE\2021-09-21_2399875_Adobe_Inc._Q3_2021_Earnings_Call_Sep_21_2021,ADBE,enterprise_software,2021-09-21,2021Q3,51,0,3,1,0.058823529411764705,3.9512437185814275,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,5
ADBE|2021-12-16|ADBE\2021-12-16_2477888_Adobe_Inc._Q4_2021_Earnings_Call_Dec_16_2021,ADBE,enterprise_software,2021-12-16,2021Q4,59,0,9,1,0.15254237288135594,4.0943445622221,0.4444444444444444,0.5555555555555556,0.0,0.0,0.0,0.5555555555555556,0.1111111111111111,0.0,0.4444444444444444,0.4444444444444444,0.0,0.0,0.4444444444444444,0.0,4
ADBE|2022-03-22|ADBE\2022-03-22_2529052_Adobe_Inc._Q1_2022_Earnings_Call_Mar_22_2022,ADBE,enterprise_software,2022-03-22,2022Q1,53,0,2,1,0.03773584905660377,3.9889840465642745,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2
ADBE|2022-06-16|ADBE\2022-06-16_2590683_Adobe_Inc._Q2_2022_Earnings_Call_Jun_16_2022,ADBE,enterprise_software,2022-06-16,2022Q2,62,0,1,1,0.016129032258064516,4.143134726391533,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
ADBE|2022-09-15|ADBE\2022-09-15_2654991_Adobe_Inc._Q3_2022_Earnings_Call_Sep_15_2022,ADBE,enterprise_software,2022-09-15,2022Q3,49,0,1,1,0.02040816326530612,3.912023005428146,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ADBE|2022-09-15|ADBE\2022-09-15_2655421_Adobe_Inc._Q3_2022_Earnings_Call_Sep_15_2022,ADBE,enterprise_software,2022-09-15,2022Q3,49,0,0,0,0.0,3.912023005428146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADBE|2022-12-15|ADBE\2022-12-15_3000557_Adobe_Inc._Q4_2022_Earnings_Call_Dec_15_2022,ADBE,enterprise_software,2022-12-15,2022Q4,51,0,2,1,0.0392156862745098,3.9512437185814275,0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.5,0.5,0.0,5
ADBE|2023-03-15|ADBE\2023-03-15_2766091_Adobe_Inc._Q1_2023_Earnings_Call_Mar_15_2023,ADBE,enterprise_software,2023-03-15,2023Q1,51,1,5,1,0.09803921568627451,3.9512437185814275,0.4,0.6,0.0,0.0,0.0,0.6,0.0,0.8,0.4,0.6,0.2,0.2,0.4,0.0,5
ADBE|2023-06-15|ADBE\2023-06-15_2839824_Adobe_Inc._Q2_2023_Earnings_Call_Jun_15_2023,ADBE,enterprise_software,2023-06-15,2023Q2,50,1,5,1,0.1,3.9318256327243257,0.6,0.4,0.0,0.0,0.0,0.8,0.4,1.0,0.6,1.0,0.0,0.0,0.6,0.0,5
ADBE|2023-09-14|ADBE\2023-09-14_2908576_Adobe_Inc._Q3_2023_Earnings_Call_Sep_14_2023,ADBE,enterprise_software,2023-09-14,2023Q3,50,1,17,1,0.34,3.9318256327243257,0.5294117647058824,0.47058823529411764,0.0,0.0,0.0,0.4117647058823529,0.0,0.5294117647058824,0.23529411764705882,0.47058823529411764,0.0,0.0,0.5294117647058824,0.0,4
ADBE|2023-12-13|ADBE\2023-12-13_2981895_Adobe_Inc._Q4_2023_Earnings_Call_Dec_13_2023,ADBE,enterprise_software,2023-12-13,2023Q4,45,1,9,1,0.2,3.828641396489095,0.5555555555555556,0.4444444444444444,0.0,0.0,0.0,0.4444444444444444,0.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.0,5
ADBE|2024-03-14|ADBE\2024-03-14_3063100_Adobe_Inc._Q1_2024_Earnings_Call_Mar_14_2024,ADBE,enterprise_software,2024-03-14,2024Q1,49,1,13,1,0.2653061224489796,3.912023005428146,0.6153846153846154,0.38461538461538464,0.0,0.0,0.0,0.38461538461538464,0.0,0.6923076923076923,0.6923076923076923,0.7692307692307693,0.23076923076923078,0.23076923076923078,0.6153846153846154,0.0,5
ADBE|2024-06-13|ADBE\2024-06-13_3160714_Adobe_Inc._Q2_2024_Earnings_Call_Jun_13_2024,ADBE,enterprise_software,2024-06-13,2024Q2,51,1,18,1,0.35294117647058826,3.9512437185814275,0.5,0.5,0.0,0.0,0.0,0.3333333333333333,0.05555555555555555,0.5555555555555556,0.6666666666666666,0.6111111111111112,0.0,0.0,0.5,0.0,5
ADBE|2024-09-12|ADBE\2024-09-12_3264172_Adobe_Inc._Q3_2024_Earnings_Call_Sep_12_2024,ADBE,enterprise_software,2024-09-12,2024Q3,38,1,11,1,0.2894736842105263,3.6635616461296463,0.5454545454545454,0.45454545454545453,0.0,0.0,0.0,0.6363636363636364,0.0,0.6363636363636364,0.7272727272727273,0.7272727272727273,0.09090909090909091,0.09090909090909091,0.5454545454545454,0.0,5
ADBE|2024-12-11|ADBE\2024-12-11_3339565_Adobe_Inc._Q4_2024_Earnings_Call_Dec_11_2024,ADBE,enterprise_software,2024-12-11,2024Q4,41,1,13,1,0.3170731707317073,3.7376696182833684,0.3076923076923077,0.6923076923076923,0.0,0.0,0.0,0.23076923076923078,0.0,0.5384615384615384,0.9230769230769231,0.6153846153846154,0.0,0.0,0.3076923076923077,0.0,4
ADSK|2021-02-25|ADSK\2021-02-25_2293022_Autodesk_Inc._Q4_2021_Earnings_Call_Feb_25_2021,ADSK,enterprise_software,2021-02-25,2021Q1,42,0,1,1,0.023809523809523808,3.7612001156935624,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
ADSK|2021-05-27|ADSK\2021-05-27_2303247_Autodesk_Inc._Q1_2022_Earnings_Call_May_27_2021,ADSK,enterprise_software,2021-05-27,2021Q2,53,0,0,0,0.0,3.9889840465642745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADSK|2021-08-25|ADSK\2021-08-25_2386180_Autodesk_Inc._Q2_2022_Earnings_Call_Aug_25_2021,ADSK,enterprise_software,2021-08-25,2021Q3,58,0,1,1,0.017241379310344827,4.07753744390572,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
ADSK|2021-11-23|ADSK\2021-11-23_2447962_Autodesk_Inc._Q3_2022_Earnings_Call_Nov_23_2021,ADSK,enterprise_software,2021-11-23,2021Q4,54,0,0,0,0.0,4.007333185232471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADSK|2022-02-24|ADSK\2022-02-24_2507004_Autodesk_Inc._Q4_2022_Earnings_Call_Feb_24_2022,ADSK,enterprise_software,2022-02-24,2022Q1,56,0,0,0,0.0,4.04305126783455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADSK|2022-05-26|ADSK\2022-05-26_2581767_Autodesk_Inc._Q1_2023_Earnings_Call_May_26_2022,ADSK,enterprise_software,2022-05-26,2022Q2,143,0,2,1,0.013986013986013986,4.969813299576001,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2
ADSK|2022-08-24|ADSK\2022-08-24_2637719_Autodesk_Inc._Q2_2023_Earnings_Call_Aug_24_2022,ADSK,enterprise_software,2022-08-24,2022Q3,53,0,2,1,0.03773584905660377,3.9889840465642745,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.0,3
ADSK|2022-11-22|ADSK\2022-11-22_2696201_Autodesk_Inc._Q3_2023_Earnings_Call_Nov_22_2022,ADSK,enterprise_software,2022-11-22,2022Q4,68,0,0,0,0.0,4.23410650459726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
ADSK|2023-02-23|ADSK\2023-02-23_2750418_Autodesk_Inc._Q4_2023_Earnings_Call_Feb_23_2023,ADSK,enterprise_software,2023-02-23,2023Q1,60,1,1,1,0.016666666666666666,4.110873864173311,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2
ADSK|2023-05-25|ADSK\2023-05-25_2821873_Autodesk_Inc._Q1_2024_Earnings_Call_May_25_2023,ADSK,enterprise_software,2023-05-25,2023Q2,58,1,3,1,0.05172413793103448,4.07753744390572,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,4
ADSK|2023-08-23|ADSK\2023-08-23_2892866_Autodesk_Inc._Q2_2024_Earnings_Call_Aug_23_2023,ADSK,enterprise_software,2023-08-23,2023Q3,75,1,1,1,0.013333333333333334,4.330733340286331,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2
ADSK|2023-11-21|ADSK\2023-11-21_2963577_Autodesk_Inc._Q3_2024_Earnings_Call_Nov_21_2023,ADSK,enterprise_software,2023-11-21,2023Q4,57,1,4,1,0.07017543859649122,4.060443010546419,0.25,0.75,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.5,0.0,0.0,0.25,0.0,3
ADSK|2024-02-29|ADSK\2024-02-29_3045923_Autodesk_Inc._Q4_2024_Earnings_Call_Feb_29_2024,ADSK,enterprise_software,2024-02-29,2024Q1,57,1,3,1,0.05263157894736842,4.060443010546419,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,4
ADSK|2024-06-11|ADSK\2024-06-11_3157709_Autodesk_Inc._Q1_2025_Earnings_Call_Jun_11_2024,ADSK,enterprise_software,2024-06-11,2024Q2,73,1,5,1,0.0684931506849315,4.30406509320417,0.4,0.6,0.0,0.0,0.0,0.6,0.0,0.6,0.4,0.6,0.0,0.0,0.4,0.0,4
ADSK|2024-08-29|ADSK\2024-08-29_3246826_Autodesk_Inc._Q2_2025_Earnings_Call_Aug_29_2024,ADSK,enterprise_software,2024-08-29,2024Q3,55,1,2,1,0.03636363636363636,4.02535169073515,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.0,3
ADSK|2024-11-26|ADSK\2024-11-26_3319302_Autodesk_Inc._Q3_2025_Earnings_Call_Nov_26_2024,ADSK,enterprise_software,2024-11-26,2024Q4,71,1,2,1,0.028169014084507043,4.276666119016055,0.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,0.5,0.0,3
AI|2021-03-01|AI\2021-03-01_2294642_C3.ai_Inc._Q3_2021_Earnings_Call_Mar_01_2021,AI,ai_forward_saas,2021-03-01,2021Q1,78,0,10,1,0.1282051282051282,4.3694478524670215,0.4,0.5,0.1,0.0,0.0,0.6,0.1,0.0,0.6,0.3,0.1,0.1,0.4,0.0,5
AI|2021-06-02|AI\2021-06-02_2308505_C3.ai_Inc._Q4_2021_Earnings_Call_Jun_02_2021,AI,ai_forward_saas,2021-06-02,2021Q2,72,0,9,1,0.125,4.290459441148391,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0,0.3333333333333333,0.1111111111111111,0.0,0.8888888888888888,0.4444444444444444,0.0,0.0,0.2222222222222222,0.0,4
AI|2021-09-01|AI\2021-09-01_2390671_C3.ai_Inc._Q1_2022_Earnings_Call_Sep_01_2021,AI,ai_forward_saas,2021-09-01,2021Q3,58,0,6,1,0.10344827586206896,4.07753744390572,0.5,0.5,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.0,3
AI|2021-12-01|AI\2021-12-01_2454026_C3.ai_Inc._Q2_2022_Earnings_Call_Dec_01_2021,AI,ai_forward_saas,2021-12-01,2021Q4,45,0,10,1,0.2222222222222222,3.828641396489095,0.1,0.9,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.4,0.1,0.1,0.1,0.0,4
AI|2022-03-02|AI\2022-03-02_2515042_C3.ai_Inc._Q3_2022_Earnings_Call_Mar_02_2022,AI,ai_forward_saas,2022-03-02,2022Q1,49,0,4,1,0.08163265306122448,3.912023005428146,0.75,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.75,0.0,3
AI|2022-06-01|AI\2022-06-01_2583564_C3.ai_Inc._Q4_2022_Earnings_Call_Jun_01_2022,AI,ai_forward_saas,2022-06-01,2022Q2,59,0,3,1,0.05084745762711865,4.0943445622221,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,3
AI|2022-08-31|AI\2022-08-31_2640498_C3.ai_Inc._Q1_2023_Earnings_Call_Aug_31_2022,AI,ai_forward_saas,2022-08-31,2022Q3,54,0,3,1,0.05555555555555555,4.007333185232471,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,4
AI|2022-12-07|AI\2022-12-07_2806416_C3.ai_Inc._Q2_2023_Earnings_Call_Dec_07_2022,AI,ai_forward_saas,2022-12-07,2022Q4,85,0,4,1,0.047058823529411764,4.454347296253507,0.25,0.75,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,3
AI|2023-03-02|AI\2023-03-02_2756820_C3.ai_Inc._Q3_2023_Earnings_Call_Mar_02_2023,AI,ai_forward_saas,2023-03-02,2023Q1,75,1,9,1,0.12,4.330733340286331,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0,0.0,0.3333333333333333,0.1111111111111111,0.6666666666666666,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,6
AI|2023-05-31|AI\2023-05-31_2828979_C3.ai_Inc._Q4_2023_Earnings_Call_May_31_2023,AI,ai_forward_saas,2023-05-31,2023Q2,43,1,15,1,0.3488372093023256,3.784189633918261,0.06666666666666667,0.7333333333333333,0.2,0.0,0.0,0.5333333333333333,0.06666666666666667,0.6666666666666666,0.26666666666666666,0.26666666666666666,0.2,0.2,0.06666666666666667,0.0,6
AI|2023-09-06|AI\2023-09-06_2903935_C3.ai_Inc._Q1_2024_Earnings_Call_Sep_06_2023,AI,ai_forward_saas,2023-09-06,2023Q3,61,1,11,1,0.18032786885245902,4.127134385045092,0.09090909090909091,0.8181818181818182,0.0,0.09090909090909091,0.0,0.18181818181818182,0.09090909090909091,0.9090909090909091,0.45454545454545453,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,6
AI|2023-12-06|AI\2023-12-06_2980917_C3.ai_Inc._Q2_2024_Earnings_Call_Dec_06_2023,AI,ai_forward_saas,2023-12-06,2023Q4,35,1,10,1,0.2857142857142857,3.58351893845611,0.0,0.7,0.2,0.1,0.0,0.4,0.1,0.9,0.3,0.3,0.2,0.2,0.0,0.0,6
AI|2024-02-28|AI\2024-02-28_3044052_C3.ai_Inc._Q3_2024_Earnings_Call_Feb_28_2024,AI,ai_forward_saas,2024-02-28,2024Q1,47,1,12,1,0.2553191489361702,3.871201010907891,0.3333333333333333,0.5833333333333334,0.0,0.08333333333333333,0.0,0.5833333333333334,0.08333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.0,6
AI|2024-05-29|AI\2024-05-29_3147723_C3.ai_Inc._Q4_2024_Earnings_Call_May_29_2024,AI,ai_forward_saas,2024-05-29,2024Q2,48,1,7,1,0.14583333333333334,3.8918202981106265,0.14285714285714285,0.7142857142857143,0.0,0.14285714285714285,0.0,0.5714285714285714,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,6
AI|2024-09-04|AI\2024-09-04_3253432_C3.ai_Inc._Q1_2025_Earnings_Call_Sep_04_2024,AI,ai_forward_saas,2024-09-04,2024Q3,39,1,9,1,0.23076923076923078,3.6888794541139363,0.4444444444444444,0.3333333333333333,0.1111111111111111,0.1111111111111111,0.0,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.7777777777777778,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.0,6
AI|2024-12-09|AI\2024-12-09_3337151_C3.ai_Inc._Q2_2025_Earnings_Call_Dec_09_2024,AI,ai_forward_saas,2024-12-09,2024Q4,22,1,7,1,0.3181818181818182,3.1354942159291497,0.14285714285714285,0.7142857142857143,0.0,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,6
AKAM|2021-02-09|AKAM\2021-02-09_2201209_Akamai_Technologies_Inc._Q4_2020_Earnings_Call_Feb_09_2021,AKAM,data_cloud_security,2021-02-09,2021Q1,61,0,0,0,0.0,4.127134385045092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AKAM|2021-05-04|AKAM\2021-05-04_2269354_Akamai_Technologies_Inc._Q1_2021_Earnings_Call_May_04_2021,AKAM,data_cloud_security,2021-05-04,2021Q2,65,0,0,0,0.0,4.189654742026425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AKAM|2021-08-03|AKAM\2021-08-03_2361489_Akamai_Technologies_Inc._Q2_2021_Earnings_Call_Aug_03_2021,AKAM,data_cloud_security,2021-08-03,2021Q3,51,0,2,1,0.0392156862745098,3.9512437185814275,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,2
AKAM|2021-11-02|AKAM\2021-11-02_2422276_Akamai_Technologies_Inc._Q3_2021_Earnings_Call_Nov_02_2021,AKAM,data_cloud_security,2021-11-02,2021Q4,58,0,0,0,0.0,4.07753744390572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AKAM|2022-02-15|AKAM\2022-02-15_2495061_Akamai_Technologies_Inc._Q4_2021_Earnings_Call_Feb_15_2022,AKAM,data_cloud_security,2022-02-15,2022Q1,80,0,0,0,0.0,4.394449154672439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AKAM|2022-05-03|AKAM\2022-05-03_2551912_Akamai_Technologies_Inc._Q1_2022_Earnings_Call_May_03_2022,AKAM,data_cloud_security,2022-05-03,2022Q2,78,0,0,0,0.0,4.3694478524670215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AKAM|2022-08-09|AKAM\2022-08-09_2624745_Akamai_Technologies_Inc._Q2_2022_Earnings_Call_Aug_09_2022,AKAM,data_cloud_security,2022-08-09,2022Q3,67,0,0,0,0.0,4.219507705176107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AKAM|2022-11-08|AKAM\2022-11-08_2680079_Akamai_Technologies_Inc._Q3_2022_Earnings_Call_Nov_08_2022,AKAM,data_cloud_security,2022-11-08,2022Q4,82,0,0,0,0.0,4.418840607796598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AKAM|2023-02-14|AKAM\2023-02-14_2738306_Akamai_Technologies_Inc._Q4_2022_Earnings_Call_Feb_14_2023,AKAM,data_cloud_security,2023-02-14,2023Q1,67,1,1,1,0.014925373134328358,4.219507705176107,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
AKAM|2023-05-09|AKAM\2023-05-09_2804317_Akamai_Technologies_Inc._Q1_2023_Earnings_Call_May_09_2023,AKAM,data_cloud_security,2023-05-09,2023Q2,49,1,1,1,0.02040816326530612,3.912023005428146,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2
